step,design:pTM,design:global_pLDDT,design:hydrophobic,design:state_energy,system_energy
257,-0.17644091,-0.51413137,0.36619718309859156,1.1404136,1.1404136
258,-0.17124644,-0.53332025,0.3877068557919622,1.2339675,1.2339675
259,-0.30940217,-0.6165793,0.36533957845433257,0.9007165,0.9007165
260,-0.30940217,-0.6165793,0.36533957845433257,0.9007165,0.9007165
261,-0.17969508,-0.43897367,0.34813084112149534,1.1219854,1.1219854
262,-0.16708884,-0.4364787,0.34813084112149534,1.1370866,1.1370866
263,-0.16708884,-0.4364787,0.34813084112149534,1.1370866,1.1370866
264,-0.104439616,-0.40270188,0.35224586288416077,1.2540878,1.2540878
265,-0.10972096,-0.4062006,0.35224586288416077,1.2453077,1.2453077
266,-0.31833175,-0.6353954,0.3613053613053613,0.85279965,0.85279965
267,-0.31833175,-0.6353954,0.3613053613053613,0.85279965,0.85279965
268,-0.31833175,-0.6353954,0.3613053613053613,0.85279965,0.85279965
269,-0.31833175,-0.6353954,0.3613053613053613,0.85279965,0.85279965
270,-0.31833175,-0.6353954,0.3613053613053613,0.85279965,0.85279965
271,-0.28713238,-0.61252606,0.3629976580796253,0.9153298,0.9153298
272,-0.26496142,-0.5565946,0.3475177304964539,0.9160326,0.9160326
273,-0.25459212,-0.5398164,0.3466981132075472,0.9390821,0.9390821
274,-0.25459212,-0.5398164,0.3466981132075472,0.9390821,0.9390821
275,-0.2535476,-0.5549896,0.3629976580796253,1.0064511,1.0064511
276,-0.27123818,-0.5694814,0.36046511627906974,0.961606,0.961606
277,-0.25112572,-0.5327456,0.34106728538283065,0.92146516,0.92146516
278,-0.10314049,-0.4116948,0.33715596330275227,1.1709445,1.1709445
279,-0.10931057,-0.42654923,0.34106728538283065,1.1694766,1.1694766
280,-0.16220915,-0.4499764,0.36046511627906974,1.19014,1.19014
281,-0.12678172,-0.43039277,0.33176470588235296,1.101649,1.101649
282,-0.1104405,-0.4446261,0.3294392523364486,1.0921297,1.0921297
283,-0.1104405,-0.4446261,0.3294392523364486,1.0921297,1.0921297
284,-0.12495332,-0.4460103,0.34651162790697676,1.1615945,1.1615945
285,-0.171521,-0.45049867,0.37299771167048057,1.2429689,1.2429689
286,-0.18904376,-0.45781234,0.37557603686635943,1.2310241,1.2310241
287,-0.24032363,-0.51237565,0.37995337995337997,1.1470677,1.1470677
288,-0.25978297,-0.51694494,0.39351851851851855,1.1908647,1.1908647
289,-0.34194803,-0.6244877,0.42298850574712643,1.1485069,1.1485069
290,-0.34623635,-0.6476979,0.42105263157894735,1.111329,1.111329
291,-0.34623635,-0.6476979,0.42105263157894735,1.111329,1.111329
292,-0.34623635,-0.6476979,0.42105263157894735,1.111329,1.111329
293,-0.3662628,-0.6576002,0.42790697674418604,1.1156719,1.1156719
294,-0.4158255,-0.7359752,0.4078341013824885,0.8873699,0.8873699
295,-0.4365061,-0.7738122,0.42105263157894735,0.8949449,0.8949449
296,-0.4365061,-0.7738122,0.42105263157894735,0.8949449,0.8949449
297,-0.4213981,-0.7590858,0.4191343963553531,0.9151881,0.9151881
298,-0.40633795,-0.6626314,0.38990825688073394,0.88057196,0.88057196
299,-0.40633795,-0.6626314,0.38990825688073394,0.88057196,0.88057196
300,-0.45878583,-0.7793945,0.4123006833712984,0.823323,0.823323
301,-0.43611515,-0.7594606,0.4113636363636364,0.86124253,0.86124253
302,-0.45246089,-0.7878637,0.4123006833712984,0.8211789,0.8211789
303,-0.38221723,-0.7272705,0.4151376146788991,0.96620035,0.96620035
304,-0.4685397,-0.78954065,0.43249427917620137,0.90439093,0.90439093
305,-0.44018692,-0.75117093,0.4060324825986079,0.8388045,0.8388045
306,-0.42545655,-0.72776735,0.3779342723004695,0.73644745,0.73644745
307,-0.45202568,-0.7596168,0.3815165876777251,0.6959404,0.6959404
308,-0.45964038,-0.76369524,0.3815165876777251,0.68424726,0.68424726
309,-0.45151356,-0.7645479,0.4028776978417266,0.7983271,0.7983271
310,-0.47336805,-0.7826729,0.37745098039215685,0.631214,0.631214
311,-0.411273,-0.7419096,0.35784313725490197,0.63603306,0.63603306
312,-0.43627787,-0.7503929,0.35523114355231145,0.58948493,0.58948493
313,-0.45221525,-0.7622596,0.35609756097560974,0.56601286,0.56601286
314,-0.4771005,-0.75340736,0.3374083129584352,0.45653367,0.45653367
315,-0.49837068,-0.78500104,0.33093525179856115,0.37130463,0.37130463
316,-0.48500347,-0.7660054,0.32857142857142857,0.39184833,0.39184833
317,-0.48385108,-0.770289,0.3317307692307692,0.40451372,0.40451372
318,-0.49634406,-0.7872857,0.33014354066985646,0.36708796,0.36708796
319,-0.5004648,-0.78551507,0.31026252983293556,0.26533282,0.26533282
320,-0.4794083,-0.7707126,0.2822384428223844,0.1610713,0.1610713
321,-0.50108737,-0.7860984,0.29782082324455206,0.20191836,0.20191836
322,-0.50108737,-0.7860984,0.29782082324455206,0.20191836,0.20191836
323,-0.50108737,-0.7860984,0.29782082324455206,0.20191836,0.20191836
324,-0.48030478,-0.7665107,0.27710843373493976,0.13872671,0.13872671
325,-0.49276516,-0.77213395,0.2804878048780488,0.13753986,0.13753986
326,-0.47762054,-0.7680307,0.26150121065375304,0.06185484,0.06185484
327,-0.37994596,-0.6772805,0.26405867970660146,0.263067,0.263067
328,-0.23739871,-0.56719667,0.2839506172839506,0.6151577,0.6151577
329,-0.23198459,-0.5672556,0.2860696517412935,0.63110805,0.63110805
330,-0.23878154,-0.47199574,0.26683291770573564,0.62338734,0.62338734
331,-0.24252163,-0.4705217,0.26683291770573564,0.6211213,0.6211213
332,-0.24252163,-0.4705217,0.26683291770573564,0.6211213,0.6211213
333,-0.23536815,-0.4769156,0.2860696517412935,0.71806455,0.71806455
334,-0.24788551,-0.48657238,0.286783042394015,0.69945735,0.69945735
335,-0.26208073,-0.511745,0.3075,0.7636743,0.7636743
336,-0.2552457,-0.5355168,0.3082706766917293,0.75059086,0.75059086
337,-0.23011604,-0.54178804,0.29,0.67809594,0.67809594
338,-0.2273346,-0.543628,0.31,0.77903736,0.77903736
339,-0.27024335,-0.5511095,0.3139240506329114,0.7482674,0.7482674
340,-0.27024335,-0.5511095,0.3139240506329114,0.7482674,0.7482674
341,-0.26716086,-0.5600105,0.31909547738693467,0.768306,0.768306
342,-0.26716086,-0.5600105,0.31909547738693467,0.768306,0.768306
343,-0.32985497,-0.7209691,0.3375,0.63667595,0.63667595
344,-0.32985497,-0.7209691,0.3375,0.63667595,0.63667595
345,-0.30335873,-0.6979755,0.3472906403940887,0.735119,0.735119
346,-0.28216872,-0.67613244,0.349009900990099,0.7867483,0.7867483
347,-0.30096102,-0.69823146,0.3472906403940887,0.7372607,0.7372607
348,-0.31599408,-0.71280557,0.34474327628361856,0.6949167,0.6949167
349,-0.33747777,-0.73774666,0.36253041362530414,0.7374277,0.7374277
350,-0.33963746,-0.73830485,0.36097560975609755,0.7269356,0.7269356
351,-0.34259585,-0.73773134,0.36097560975609755,0.72455084,0.72455084
352,-0.3411621,-0.7367723,0.3671497584541063,0.7578144,0.7578144
353,-0.2942345,-0.7051278,0.3918269230769231,0.9597723,0.9597723
354,-0.2603833,-0.60512847,0.39659367396593675,1.1174566,1.1174566
355,-0.24860361,-0.5416862,0.41204819277108434,1.2699512,1.2699512
356,-0.25535634,-0.57982284,0.40617577197149646,1.1956996,1.1956996
357,-0.23153703,-0.52632856,0.4081145584725537,1.2827072,1.2827072
358,-0.24310522,-0.5882375,0.42823529411764705,1.3098338,1.3098338
359,-0.2442522,-0.59137774,0.43333333333333335,1.3310368,1.3310368
360,-0.2442522,-0.59137774,0.43333333333333335,1.3310368,1.3310368
361,-0.22306913,-0.5525317,0.4562647754137116,1.505723,1.505723
362,-0.2004543,-0.52112234,0.44883720930232557,1.5226095,1.5226095
363,-0.20171739,-0.513821,0.44988344988344986,1.5338789,1.5338789
364,-0.17109813,-0.455487,0.43457943925233644,1.546312,1.546312
365,-0.1848597,-0.46899727,0.43356643356643354,1.5139751,1.5139751
366,-0.18506816,-0.5000428,0.4149184149184149,1.3894812,1.3894812
367,-0.18506816,-0.5000428,0.4149184149184149,1.3894812,1.3894812
368,-0.23090228,-0.50014913,0.4110854503464203,1.3243759,1.3243759
369,-0.20256579,-0.49240857,0.41203703703703703,1.3652108,1.3652108
370,-0.18957451,-0.47856185,0.4091954022988506,1.3778408,1.3778408
371,-0.2140798,-0.47883168,0.3813953488372093,1.2140652,1.2140652
372,-0.20477521,-0.44269457,0.3822843822843823,1.2639521,1.2639521
373,-0.14028282,-0.4875219,0.38497652582159625,1.2970779,1.2970779
374,-0.12370147,-0.4715338,0.4075829383886256,1.4426794,1.4426794
375,-0.18210074,-0.5275854,0.425531914893617,1.4179734,1.4179734
376,-0.18210074,-0.5275854,0.425531914893617,1.4179734,1.4179734
